Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs
P24733	reviewed	MYS_ARGIR	Myosin heavy chain, striated muscle		Argopecten irradians (Bay scallop) (Aequipecten irradians)	1938		myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]	myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]; actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; cytoskeletal motor activity [GO:0003774]	actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; cytoskeletal motor activity [GO:0003774]	GO:0003774; GO:0005516; GO:0005524; GO:0016459; GO:0030016; GO:0032982; GO:0051015
P62262	reviewed	1433E_SHEEP	14-3-3 protein epsilon (14-3-3E) (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAE	Ovis aries (Sheep)	255	cellular response to heat [GO:0034605]; MAPK cascade [GO:0000165]; positive regulation of protein export from nucleus [GO:0046827]; protein localization to nucleus [GO:0034504]	cytoplasm [GO:0005737]; melanosome [GO:0042470]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; melanosome [GO:0042470]; nucleus [GO:0005634]; cellular response to heat [GO:0034605]; MAPK cascade [GO:0000165]; positive regulation of protein export from nucleus [GO:0046827]; protein localization to nucleus [GO:0034504]		GO:0000165; GO:0005634; GO:0005737; GO:0034504; GO:0034605; GO:0042470; GO:0046827
Q2HWU3	reviewed	CALR_MACFU	Calreticulin	CALR CRT	Macaca fuscata fuscata (Japanese macaque)	417	protein folding [GO:0006457]; protein stabilization [GO:0050821]	cell surface [GO:0009986]; cortical granule [GO:0060473]; cytolytic granule [GO:0044194]; cytosol [GO:0005829]; extracellular region [GO:0005576]; sarcoplasmic reticulum lumen [GO:0033018]	cell surface [GO:0009986]; cortical granule [GO:0060473]; cytolytic granule [GO:0044194]; cytosol [GO:0005829]; extracellular region [GO:0005576]; sarcoplasmic reticulum lumen [GO:0033018]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein stabilization [GO:0050821]	calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; unfolded protein binding [GO:0051082]	GO:0005509; GO:0005576; GO:0005829; GO:0006457; GO:0009986; GO:0030246; GO:0033018; GO:0044194; GO:0050821; GO:0051082; GO:0060473
P09642	reviewed	TBA3_CHICK	Tubulin alpha-3 chain (EC 3.6.5.-)		Gallus gallus (Chicken)	322	microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]	GTP binding [GO:0005525]; hydrolase activity [GO:0016787]; structural constituent of cytoskeleton [GO:0005200]	GO:0000226; GO:0000278; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0016787
P42026	reviewed	NDUS7_BOVIN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial (EC 7.1.1.2) (Complex I-20kD) (CI-20kD) (NADH-ubiquinone oxidoreductase 20 kDa subunit) (PSST subunit)	NDUFS7	Bos taurus (Bovine)	216	aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]	mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]	mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]	GO:0005743; GO:0005747; GO:0006120; GO:0008137; GO:0009060; GO:0015990; GO:0032981; GO:0046872; GO:0048038; GO:0051539
Q7KLV9	reviewed	PSD11_DROME	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory complex subunit p42B) (26S proteasome regulatory subunit Rpn6)	Rpn6 CG10149	Drosophila melanogaster (Fruit fly)	422	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; proteasome regulatory particle, lid subcomplex [GO:0008541]	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; proteasome regulatory particle, lid subcomplex [GO:0008541]; structural molecule activity [GO:0005198]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]	structural molecule activity [GO:0005198]	GO:0000502; GO:0005198; GO:0005654; GO:0005829; GO:0005838; GO:0006511; GO:0008541; GO:0043161
Q9JJI8	reviewed	RL38_MOUSE	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	Rpl38	Mus musculus (Mouse)	70	90S preribosome assembly [GO:0034463]; axial mesoderm development [GO:0048318]; cytoplasmic translation [GO:0002181]; middle ear morphogenesis [GO:0042474]; ossification [GO:0001503]; regulation of translation [GO:0006417]; ribonucleoprotein complex assembly [GO:0022618]; sensory perception of sound [GO:0007605]; skeletal system development [GO:0001501]; translation at postsynapse [GO:0140242]; translation at presynapse [GO:0140236]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; eukaryotic 80S initiation complex [GO:0033291]; polysomal ribosome [GO:0042788]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; ribosome [GO:0005840]; synapse [GO:0045202]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; eukaryotic 80S initiation complex [GO:0033291]; polysomal ribosome [GO:0042788]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; ribosome [GO:0005840]; synapse [GO:0045202]; structural constituent of ribosome [GO:0003735]; 90S preribosome assembly [GO:0034463]; axial mesoderm development [GO:0048318]; cytoplasmic translation [GO:0002181]; middle ear morphogenesis [GO:0042474]; ossification [GO:0001503]; regulation of translation [GO:0006417]; ribonucleoprotein complex assembly [GO:0022618]; sensory perception of sound [GO:0007605]; skeletal system development [GO:0001501]; translation at postsynapse [GO:0140242]; translation at presynapse [GO:0140236]	structural constituent of ribosome [GO:0003735]	GO:0001501; GO:0001503; GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006417; GO:0007605; GO:0014069; GO:0022618; GO:0022625; GO:0022626; GO:0033291; GO:0034463; GO:0042474; GO:0042788; GO:0045202; GO:0048318; GO:0098793; GO:0098794; GO:0140236; GO:0140242
P51410	reviewed	RL9_MOUSE	Large ribosomal subunit protein uL6 (60S ribosomal protein L9)	Rpl9	Mus musculus (Mouse)	192	cytoplasmic translation [GO:0002181]; translation [GO:0006412]; translation at postsynapse [GO:0140242]; translation at presynapse [GO:0140236]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; postsynapse [GO:0098794]; presynapse [GO:0098793]; ribosome [GO:0005840]; synapse [GO:0045202]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; postsynapse [GO:0098794]; presynapse [GO:0098793]; ribosome [GO:0005840]; synapse [GO:0045202]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; translation [GO:0006412]; translation at postsynapse [GO:0140242]; translation at presynapse [GO:0140236]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006412; GO:0019843; GO:0022625; GO:0022626; GO:0045202; GO:0098793; GO:0098794; GO:0140236; GO:0140242
P62909	reviewed	RS3_RAT	Small ribosomal subunit protein uS3 (EC 4.2.99.18) (40S ribosomal protein S3)	Rps3	Rattus norvegicus (Rat)	243	apoptotic process [GO:0006915]; cell division [GO:0051301]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to reactive oxygen species [GO:0034614]; cellular response to tumor necrosis factor [GO:0071356]; chromosome segregation [GO:0007059]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; negative regulation of DNA repair [GO:0045738]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of translation [GO:0017148]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of base-excision repair [GO:1905053]; positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:2001272]; positive regulation of DNA N-glycosylase activity [GO:1902546]; positive regulation of DNA repair [GO:0045739]; positive regulation of endodeoxyribonuclease activity [GO:0032079]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902231]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of T cell receptor signaling pathway [GO:0050862]; regulation of apoptotic process [GO:0042981]; response to TNF agonist [GO:0061481]; spindle assembly [GO:0051225]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; dendrite [GO:0030425]; endomembrane system [GO:0012505]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitotic spindle [GO:0072686]; NF-kappaB complex [GO:0071159]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; polysome [GO:0005844]; postsynaptic density [GO:0014069]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; ruffle membrane [GO:0032587]; synapse [GO:0045202]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; dendrite [GO:0030425]; endomembrane system [GO:0012505]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitotic spindle [GO:0072686]; NF-kappaB complex [GO:0071159]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; polysome [GO:0005844]; postsynaptic density [GO:0014069]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; ruffle membrane [GO:0032587]; synapse [GO:0045202]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA endonuclease activity [GO:0004520]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; DNA-binding transcription factor binding [GO:0140297]; enzyme binding [GO:0019899]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; kinase binding [GO:0019900]; microtubule binding [GO:0008017]; mRNA binding [GO:0003729]; oxidized purine DNA binding [GO:0032357]; oxidized pyrimidine DNA binding [GO:0032358]; protein kinase A binding [GO:0051018]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; supercoiled DNA binding [GO:0097100]; tubulin binding [GO:0015631]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]; apoptotic process [GO:0006915]; cell division [GO:0051301]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to reactive oxygen species [GO:0034614]; cellular response to tumor necrosis factor [GO:0071356]; chromosome segregation [GO:0007059]; DNA damage response [GO:0006974]; DNA repair [GO:0006281]; negative regulation of DNA repair [GO:0045738]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of translation [GO:0017148]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of base-excision repair [GO:1905053]; positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:2001272]; positive regulation of DNA N-glycosylase activity [GO:1902546]; positive regulation of DNA repair [GO:0045739]; positive regulation of endodeoxyribonuclease activity [GO:0032079]; positive regulation of gene expression [GO:0010628]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902231]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of T cell receptor signaling pathway [GO:0050862]; regulation of apoptotic process [GO:0042981]; response to TNF agonist [GO:0061481]; spindle assembly [GO:0051225]; translation [GO:0006412]	class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA endonuclease activity [GO:0004520]; DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0003906]; DNA-binding transcription factor binding [GO:0140297]; enzyme binding [GO:0019899]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; kinase binding [GO:0019900]; microtubule binding [GO:0008017]; mRNA binding [GO:0003729]; oxidized purine DNA binding [GO:0032357]; oxidized pyrimidine DNA binding [GO:0032358]; protein kinase A binding [GO:0051018]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; supercoiled DNA binding [GO:0097100]; tubulin binding [GO:0015631]; ubiquitin-like protein conjugating enzyme binding [GO:0044390]	GO:0003677; GO:0003684; GO:0003723; GO:0003729; GO:0003735; GO:0003906; GO:0004520; GO:0005634; GO:0005730; GO:0005737; GO:0005743; GO:0005759; GO:0005829; GO:0005840; GO:0005844; GO:0005886; GO:0006281; GO:0006412; GO:0006915; GO:0006974; GO:0007059; GO:0008017; GO:0010628; GO:0012505; GO:0014069; GO:0015631; GO:0017148; GO:0019899; GO:0019900; GO:0019901; GO:0022626; GO:0022627; GO:0030425; GO:0030544; GO:0031116; GO:0031334; GO:0031397; GO:0032079; GO:0032357; GO:0032358; GO:0032587; GO:0032743; GO:0034614; GO:0042104; GO:0042981; GO:0043507; GO:0044390; GO:0044877; GO:0045202; GO:0045738; GO:0045739; GO:0050862; GO:0051018; GO:0051092; GO:0051225; GO:0051301; GO:0051879; GO:0061481; GO:0070181; GO:0070301; GO:0071159; GO:0071356; GO:0072686; GO:0097100; GO:0140078; GO:0140297; GO:1901224; GO:1902231; GO:1902546; GO:1905053; GO:1990090; GO:1990904; GO:2001235; GO:2001272
Q24562	reviewed	U2AF2_DROME	Splicing factor U2AF 50 kDa subunit (U2 auxiliary factor 50 kDa subunit) (U2 snRNP auxiliary factor large subunit)	U2af50 CG9998	Drosophila melanogaster (Fruit fly)	416	mRNA splicing, via spliceosome [GO:0000398]; nuclear export [GO:0051168]; positive regulation of RNA export from nucleus [GO:0046833]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]	commitment complex [GO:0000243]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; spliceosomal complex [GO:0005681]; U2-type prespliceosome [GO:0071004]; U2AF complex [GO:0089701]	commitment complex [GO:0000243]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; spliceosomal complex [GO:0005681]; U2-type prespliceosome [GO:0071004]; U2AF complex [GO:0089701]; mRNA binding [GO:0003729]; poly-pyrimidine tract binding [GO:0008187]; pre-mRNA 3'-splice site binding [GO:0030628]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; nuclear export [GO:0051168]; positive regulation of RNA export from nucleus [GO:0046833]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]	mRNA binding [GO:0003729]; poly-pyrimidine tract binding [GO:0008187]; pre-mRNA 3'-splice site binding [GO:0030628]; RNA binding [GO:0003723]	GO:0000243; GO:0000381; GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005681; GO:0008187; GO:0008380; GO:0016607; GO:0030628; GO:0046833; GO:0051168; GO:0071004; GO:0071011; GO:0089701
Q9CR11	reviewed	YETS4_MOUSE	YEATS domain-containing protein 4 (Glioma-amplified sequence 41 homolog) (Gas41)	Yeats4 Gas41	Mus musculus (Mouse)	227	chromatin remodeling [GO:0006338]; histone acetylation [GO:0016573]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of DNA-templated transcription [GO:0006355]; regulation of double-strand break repair [GO:2000779]; regulation of transcription by RNA polymerase II [GO:0006357]	NuA4 histone acetyltransferase complex [GO:0035267]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]	NuA4 histone acetyltransferase complex [GO:0035267]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; histone binding [GO:0042393]; lysine-acetylated histone binding [GO:0070577]; modification-dependent protein binding [GO:0140030]; chromatin remodeling [GO:0006338]; histone acetylation [GO:0016573]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of DNA-templated transcription [GO:0006355]; regulation of double-strand break repair [GO:2000779]; regulation of transcription by RNA polymerase II [GO:0006357]	histone binding [GO:0042393]; lysine-acetylated histone binding [GO:0070577]; modification-dependent protein binding [GO:0140030]	GO:0000786; GO:0005634; GO:0005654; GO:0006338; GO:0006355; GO:0006357; GO:0016573; GO:0031965; GO:0035267; GO:0042393; GO:0042981; GO:0043967; GO:0043968; GO:0045893; GO:0051726; GO:0070577; GO:0140030; GO:1905168; GO:2000779
Q9NES8	reviewed	PPP5_CAEEL	Serine/threonine-protein phosphatase 5 (EC 3.1.3.16)	pph-5 Y39B6A.2	Caenorhabditis elegans	496	negative regulation of exocytosis [GO:0045920]; protein localization to organelle [GO:0033365]; regulation of protein kinase activity [GO:0045859]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; protein folding chaperone complex [GO:0101031]; protein serine/threonine phosphatase complex [GO:0008287]; protein-containing complex [GO:0032991]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; protein folding chaperone complex [GO:0101031]; protein serine/threonine phosphatase complex [GO:0008287]; protein-containing complex [GO:0032991]; Hsp90 protein binding [GO:0051879]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; phosphoprotein phosphatase activity [GO:0004721]; protein serine/threonine phosphatase activity [GO:0004722]; negative regulation of exocytosis [GO:0045920]; protein localization to organelle [GO:0033365]; regulation of protein kinase activity [GO:0045859]	Hsp90 protein binding [GO:0051879]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; phosphoprotein phosphatase activity [GO:0004721]; protein serine/threonine phosphatase activity [GO:0004722]	GO:0004721; GO:0004722; GO:0005634; GO:0005737; GO:0005829; GO:0008287; GO:0017018; GO:0032991; GO:0033365; GO:0045859; GO:0045920; GO:0046872; GO:0051879; GO:0072686; GO:0101031
O35130	reviewed	NEP1_MOUSE	Ribosomal RNA small subunit methyltransferase NEP1 (EC 2.1.1.-) (18S rRNA (pseudouridine(1248)-N1)-methyltransferase) (18S rRNA Psi1248 methyltransferase) (Nucleolar protein EMG1 homolog) (Protein C2f) (Ribosome biogenesis protein NEP1)	Emg1 C2f Grcc2f	Mus musculus (Mouse)	244	blastocyst development [GO:0001824]; nucleologenesis [GO:0017126]; ribosomal small subunit biogenesis [GO:0042274]; rRNA base methylation [GO:0070475]	chromosome [GO:0005694]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]	chromosome [GO:0005694]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; identical protein binding [GO:0042802]; rRNA (pseudouridine) methyltransferase activity [GO:0070037]; rRNA binding [GO:0019843]; blastocyst development [GO:0001824]; nucleologenesis [GO:0017126]; ribosomal small subunit biogenesis [GO:0042274]; rRNA base methylation [GO:0070475]	identical protein binding [GO:0042802]; rRNA (pseudouridine) methyltransferase activity [GO:0070037]; rRNA binding [GO:0019843]	GO:0001824; GO:0005654; GO:0005694; GO:0005730; GO:0017126; GO:0019843; GO:0032040; GO:0042274; GO:0042802; GO:0070037; GO:0070475
P07926	reviewed	AT5G2_BOVIN	ATP synthase F(0) complex subunit C2, mitochondrial (ATP synthase lipid-binding protein) (ATP synthase membrane subunit c locus 2) (ATP synthase proteolipid P2) (ATPase protein 9) (ATPase subunit c)	ATP5MC2 ATP5G2	Bos taurus (Bovine)	143	proton motive force-driven ATP synthesis [GO:0015986]	mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]	mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]	lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]	GO:0000276; GO:0005753; GO:0008289; GO:0015078; GO:0015986
P83871	reviewed	PHF5A_RAT	PHD finger-like domain-containing protein 5A (PHD finger-like domain protein 5A) (Splicing factor 3B-associated 14 kDa protein) (SF3b14b)	Phf5a Ini	Rattus norvegicus (Rat)	110	mRNA splicing, via spliceosome [GO:0000398]; positive regulation of DNA-templated transcription [GO:0045893]; stem cell differentiation [GO:0048863]	nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; U2-type precatalytic spliceosome [GO:0071005]; U2-type spliceosomal complex [GO:0005684]	nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; U12-type spliceosomal complex [GO:0005689]; U2 snRNP [GO:0005686]; U2-type precatalytic spliceosome [GO:0071005]; U2-type spliceosomal complex [GO:0005684]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of DNA-templated transcription [GO:0045893]; stem cell differentiation [GO:0048863]	DNA binding [GO:0003677]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]	GO:0000398; GO:0003677; GO:0003723; GO:0005634; GO:0005684; GO:0005686; GO:0005689; GO:0008270; GO:0016363; GO:0016607; GO:0045893; GO:0048863; GO:0071005; GO:0071011
Q00963	reviewed	SPTCB_DROME	Spectrin beta chain	beta-Spec Spec-b CG5870	Drosophila melanogaster (Fruit fly)	2291	actin cytoskeleton organization [GO:0030036]; actin filament capping [GO:0051693]; axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; axonogenesis [GO:0007409]; long-term strengthening of neuromuscular junction [GO:0042062]; maintenance of presynaptic active zone structure [GO:0048790]; negative regulation of microtubule depolymerization [GO:0007026]; nervous system development [GO:0007399]; neuromuscular synaptic transmission [GO:0007274]; neuron development [GO:0048666]; photoreceptor cell axon guidance [GO:0072499]; regulation of plasma membrane organization [GO:1903729]; regulation of synapse organization [GO:0050807]	axon [GO:0030424]; cell junction [GO:0030054]; cell projection [GO:0042995]; cortical actin cytoskeleton [GO:0030864]; fusome [GO:0045169]; lateral plasma membrane [GO:0016328]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; spectrin [GO:0008091]; spectrosome [GO:0045170]	axon [GO:0030424]; cell junction [GO:0030054]; cell projection [GO:0042995]; cortical actin cytoskeleton [GO:0030864]; fusome [GO:0045169]; lateral plasma membrane [GO:0016328]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; spectrin [GO:0008091]; spectrosome [GO:0045170]; actin filament binding [GO:0051015]; ankyrin binding [GO:0030506]; calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; structural constituent of cytoskeleton [GO:0005200]; actin cytoskeleton organization [GO:0030036]; actin filament capping [GO:0051693]; axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; axonogenesis [GO:0007409]; long-term strengthening of neuromuscular junction [GO:0042062]; maintenance of presynaptic active zone structure [GO:0048790]; negative regulation of microtubule depolymerization [GO:0007026]; nervous system development [GO:0007399]; neuromuscular synaptic transmission [GO:0007274]; neuron development [GO:0048666]; photoreceptor cell axon guidance [GO:0072499]; regulation of plasma membrane organization [GO:1903729]; regulation of synapse organization [GO:0050807]	actin filament binding [GO:0051015]; ankyrin binding [GO:0030506]; calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; structural constituent of cytoskeleton [GO:0005200]	GO:0005200; GO:0005516; GO:0005546; GO:0005886; GO:0007026; GO:0007274; GO:0007399; GO:0007409; GO:0007411; GO:0008017; GO:0008091; GO:0016199; GO:0016328; GO:0030036; GO:0030054; GO:0030424; GO:0030506; GO:0030864; GO:0031594; GO:0042062; GO:0042995; GO:0045169; GO:0045170; GO:0048666; GO:0048790; GO:0050807; GO:0051015; GO:0051693; GO:0072499; GO:1903729
